Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-15,IEX,599.2,2.200238785604655,3680973,1184195.0,3.108417954813185,1184195,33.23
2021-09-15,METROPOLIS,3174.55,3.1552096703439654,107050,35144.0,3.04603915319827,35144,25.75
2021-09-15,BATAINDIA,1837.85,2.4671052631578947,458872,154897.0,2.9624331007056304,154897,43.34
2021-09-15,CUB,155.9,-0.6373486297004461,1131101,417299.0,2.7105289013393272,417299,69.28
2021-09-15,ALKEM,3852.15,1.2045818774137589,68212,25508.0,2.674141445820919,25508,57.87
2021-09-15,MFSL,1130.85,3.3967267075066165,564595,221864.0,2.5447796848519815,221864,50.28
2021-09-15,BSOFT,425.7,4.1085840058694085,1544568,624328.0,2.473968811265873,624328,38.85
2021-09-15,PNB,38.75,2.513227513227521,14990235,6162088.0,2.432655132481068,6162088,26.04
2021-09-15,SHREECEM,31040.45,1.2458208979565235,29789,12911.0,2.307257377430098,12911,35.5
2021-09-15,IPCALAB,2627.85,-0.3658767772511883,145261,63077.0,2.3029154842494095,63077,16.88
2021-09-15,CIPLA,952.95,-0.020983056182125773,1977518,864685.0,2.286980808039922,864685,78.8
2021-09-15,INDIACEM,185.0,2.012682657843951,953398,431237.0,2.210844616765259,431237,34.17
2021-09-15,RECLTD,161.3,2.4452207049857244,2894638,1324444.0,2.1855495589092477,1324444,31.09
2021-09-15,INDIAMART,8890.85,1.3029111832735185,43109,19950.0,2.1608521303258144,19950,22.81
2021-09-15,POWERGRID,177.9,2.182653647329128,8580109,4001797.0,2.1440640292348663,4001797,57.02
2021-09-15,LT,1717.0,1.2113531197500635,1614127,756723.0,2.1330486849216954,756723,58.53
2021-09-15,TITAN,2119.85,3.1205915260008803,1122600,527802.0,2.126933963872816,527802,40.15
2021-09-15,MGL,1180.3,-0.7358815861401959,199928,94444.0,2.1168946677396128,94444,49.13
2021-09-15,CANBK,161.6,4.0901771336553905,9388524,4461742.0,2.1042283484791366,4461742,49.4
2021-09-15,LALPATHLAB,4208.6,1.6152787502716408,74380,35419.0,2.100002823343403,35419,30.84
2021-09-15,SBIN,443.85,2.5057736720554327,8683362,4167481.0,2.083599661282199,4167481,39.15
2021-09-15,SAIL,120.75,0.08288437629506366,10954896,5321158.0,2.0587428525896057,5321158,35.07
2021-09-15,BANDHANBNK,291.15,2.39141902584841,3302653,1605398.0,2.057217587165301,1605398,41.35
2021-09-15,GLENMARK,535.9,0.8183613959176038,854431,416721.0,2.0503670321390093,416721,51.21
2021-09-16,HINDCOPPER,116.95,-6.139646869983942,6631782,793773.0,8.354758854231626,1826016,47.33
2021-09-16,BOSCHLTD,15279.6,4.796916366030642,71007,11439.0,6.207448203514293,11439,31.0
2021-09-16,AXISBANK,802.6,1.415213545615371,9698895,1863023.0,5.205998530345573,3529043,62.79
2021-09-16,BIOCON,376.75,5.384615384615385,1371649,314997.0,4.354482741105471,519242,24.8
2021-09-16,WHIRLPOOL,2261.7,-0.5080831408776062,213970,52112.0,4.105964077371815,52112,83.82
